title,price_raw,price,is_negotiable,date_raw,date,category_path,level1,level2,level3,level4,region,city,district,link
KLAPA BAGAŻNIKA + LAMPY SEAT IBIZA III LA7W,499 zł,499,False,Dzisiaj o 15:32,2026-05-05,,,,,,,,,https://www.otomoto.pl/oferta/klapa-bagaznika-lampy-seat-ibiza-iii-la7w-ID6HT5jO.html
Cube Cross Race Shimano GRX Powystawowy 56cm Gravel Przełaj,4 999 zł,4999,False,Dzisiaj o 15:32,2026-05-05,Sport i Hobby > Rowery > Rowery gravel,Sport i Hobby,Rowery,Rowery gravel,,Mazowieckie,Warszawa,Mokotów,https://www.olx.pl/d/oferta/cube-cross-race-shimano-grx-powystawowy-56cm-gravel-przelaj-CID767-ID1aw8Ut.html?search_reason=search%7Corganic
Triumph Tiger Explorer 1200 – 2013 | Gotowy do sezonu | Duży serwis |,27 400 złdo negocjacji,27400,True,Odświeżono dzisiaj o 15:32,2026-05-05,Motoryzacja > Motocykle i Skutery > Szosowo,Motoryzacja,Motocykle i Skutery,Szosowo,,Turystyczny,Turystyczny - Mazowieckie,Turystyczny - Legionowo,https://www.olx.pl/d/oferta/triumph-tiger-explorer-1200-2013-gotowy-do-sezonu-duzy-serwis-CID5-ID19Hu09.html?search_reason=search%7Corganic
DRZWI PRAWE LEWE PRZOD TYL KIA CEED I 8Q,50 zł,50,False,Dzisiaj o 15:32,2026-05-05,,,,,,,,,https://www.otomoto.pl/oferta/drzwi-prawe-lewe-przod-tyl-kia-ceed-i-8q-ID6HPZYv.html
Damska czapka Rue Paris,12 zł,12,False,Dzisiaj o 15:32,2026-05-05,Moda > Czapki i kapelusze > Czapki,Moda,Czapki i kapelusze,Czapki,,Mazowieckie,Warszawa,Targówek,https://www.olx.pl/d/oferta/damska-czapka-rue-paris-CID87-IDXq1XS.html?search_reason=search%7Corganic
Hulajnoga KuKirin G2 Max,1 500 zł,1500,False,23 kwietnia 2026,2026-04-23,Sport i Hobby > Pojazdy elektryczne > Hulajnogi elektryczne,Sport i Hobby,Pojazdy elektryczne,Hulajnogi elektryczne,,Mazowieckie,Andrzejewo,,https://www.olx.pl/d/oferta/hulajnoga-kukirin-g2-max-CID767-ID19Qxbh.html?search_reason=search%7Corganic
Cegła czerwona pełna (1zł-szt],1 zł,1,False,Dzisiaj o 06:41,2026-05-05,Budowa i Remont > Ściany i elewacje > Cegły,Budowa i Remont,Ściany i elewacje,Cegły,,Łódzkie,Łódź,Górna,https://www.olx.pl/d/oferta/cegla-czerwona-pelna-1zl-szt-CID5216-ID1auvlQ.html?search_reason=search%7Cpromoted
"Walec CAT CB24B, 2,7t, mały przebieg",61 900 zł,61900,False,Odświeżono dzisiaj o 06:51,2026-05-05,Motoryzacja > Budowlane > Maszyny drogowe,Motoryzacja,Budowlane,Maszyny drogowe,,Warmińsko-mazurskie,Miłakowo,,https://www.olx.pl/d/oferta/walec-cat-cb24b-2-7t-maly-przebieg-CID5-ID19I3qc.html?search_reason=search%7Cpromoted
"Pluszowy świerzbowiec (Sarcoptes scabiei, Mange)",50 zł,50,False,Dzisiaj o 15:32,2026-05-05,Dla Dzieci > Zabawki > Maskotki,Dla Dzieci,Zabawki,Maskotki,,Wielkopolskie,Poznań,Grunwald,https://www.olx.pl/d/oferta/pluszowy-swierzbowiec-sarcoptes-scabiei-mange-CID88-ID1aw8W1.html?search_reason=search%7Cpromoted
Błotnik przód przedni lewy BMW seria 1 E87 Alpineweiss 3,300 zł,300,False,Dzisiaj o 15:32,2026-05-05,,,,,,,,,https://www.otomoto.pl/oferta/blotnik-przod-przedni-lewy-bmw-seria-1-e87-alpineweiss-3-ID6HKwd4.html
